system:index,PLOTID,dw_2015_2018,dw_2015_2021,dw_2018_2021,me_2015_2018,me_2015_2021,me_2018_2021,.geo
00000000000000000949,id_65761412,12.0,11.0,15.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.544485311195057,60.02216672181149]}"
000000000000000003f2,id_74049078,8.0,8.0,16.0,8.0,8.0,16.0,"{""type"":""Point"",""coordinates"":[10.85987306960423,59.838647958855866]}"
00000000000000000ad7,id_58306776,11.0,11.0,11.0,3.0,3.0,11.0,"{""type"":""Point"",""coordinates"":[10.792950880994114,60.00779949821728]}"
000000000000000005c5,id_47520535,2.0,2.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.721065712911512,59.908437349443346]}"
000000000000000002b7,id_77098907,10.0,12.0,8.0,6.0,8.0,8.0,"{""type"":""Point"",""coordinates"":[10.874463248251107,59.97747761105385]}"
00000000000000000006,id_74703423,11.0,12.0,12.0,11.0,12.0,12.0,"{""type"":""Point"",""coordinates"":[10.495787468590374,60.020570363634356]}"
0000000000000000097a,id_66782923,1.0,1.0,1.0,4.0,4.0,16.0,"{""type"":""Point"",""coordinates"":[10.803032908475956,59.9227911957344]}"
00000000000000000258,id_95065243,6.0,8.0,8.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.679471218284968,59.966543895270796]}"
00000000000000000970,id_66591621,10.0,10.0,6.0,15.0,15.0,11.0,"{""type"":""Point"",""coordinates"":[10.590378379237121,60.01748912480642]}"
00000000000000000372,id_8142395,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.924195602300188,59.9450599463953]}"
00000000000000000b7b,id_62163251,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.924195602300188,59.9450599463953]}"
000000000000000001fd,id_75990458,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.540151064971107,60.03308260119032]}"
00000000000000000446,id_48886296,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.540151064971107,60.03308260119032]}"
00000000000000000450,id_49149234,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.540151064971107,60.03308260119032]}"
0000000000000000082d,id_31432014,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.540151064971107,60.03308260119032]}"
00000000000000000b08,id_59495225,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.540151064971107,60.03308260119032]}"
000000000000000008dd,id_34880304,11.0,11.0,11.0,11.0,12.0,12.0,"{""type"":""Point"",""coordinates"":[10.63886218499124,60.051026023829394]}"
00000000000000000abb,id_57620971,6.0,5.0,5.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.7739105194959,59.87656815421437]}"
0000000000000000085d,id_32403986,6.0,6.0,6.0,6.0,7.0,7.0,"{""type"":""Point"",""coordinates"":[10.80144546850093,59.906733972840925]}"
000000000000000004c7,id_52068450,8.0,8.0,16.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.86042599813486,59.839000227839094]}"
00000000000000000627,id_10745005,2.0,1.0,5.0,14.0,15.0,7.0,"{""type"":""Point"",""coordinates"":[10.756136542696865,59.86818504423388]}"
000000000000000006b9,id_13818344,2.0,1.0,5.0,14.0,15.0,7.0,"{""type"":""Point"",""coordinates"":[10.756136542696865,59.86818504423388]}"
000000000000000000b5,id_87021348,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.835892024138797,60.00263140009634]}"
0000000000000000023a,id_94583637,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.835892024138797,60.00263140009634]}"
000000000000000007a1,id_27858151,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.835892024138797,60.00263140009634]}"
000000000000000008d1,id_3461301,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.835892024138797,60.00263140009634]}"
000000000000000003d1,id_83768452,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.787787241974222,59.9686218363617]}"
0000000000000000097f,id_66851265,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.787787241974222,59.9686218363617]}"
00000000000000000a9e,id_5683219,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.669861855514794,60.03537012003073]}"
0000000000000000024f,id_94983493,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.528298774371049,60.032953287259765]}"
00000000000000000439,id_48434020,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.528298774371049,60.032953287259765]}"
000000000000000004b9,id_51777554,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.528298774371049,60.032953287259765]}"
000000000000000005ca,id_47648744,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.528298774371049,60.032953287259765]}"
00000000000000000a43,id_71565030,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.528298774371049,60.032953287259765]}"
00000000000000000a93,id_73353469,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.528298774371049,60.032953287259765]}"
00000000000000000169,id_90939431,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.73016227906054,59.96642795864341]}"
000000000000000003b6,id_82933889,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.73016227906054,59.96642795864341]}"
0000000000000000067f,id_12513451,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.73016227906054,59.96642795864341]}"
00000000000000000ac7,id_57886785,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.73016227906054,59.96642795864341]}"
000000000000000000b7,id_87042521,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
000000000000000000c0,id_87230420,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
00000000000000000328,id_79877100,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
00000000000000000413,id_41314349,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
000000000000000004dc,id_52651357,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
000000000000000006c1,id_13921063,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
