PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_67054817,sample_oslo_change_me_2018_2021,6,1,Built,"5,995,373,289.794","1,090,213,197.029",501,Anders,1,2015
id_67054817,sample_oslo_change_me_2018_2021,6,1,Built,"5,995,373,289.794","1,090,213,197.029",501,Anders,1,2018
id_67054817,sample_oslo_change_me_2018_2021,6,1,Built,"5,995,373,289.794","1,090,213,197.029",501,Anders,1,2021
id_67062699,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,984,642,909.019","1,088,119,203.174",502,Anders,6,2015
id_67062699,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,984,642,909.019","1,088,119,203.174",502,Anders,6,2018
id_67062699,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,984,642,909.019","1,088,119,203.174",502,Anders,6,2021
id_67091826,sample_oslo_change_dw_2015_2021,8,4,Shrub,"5,997,744,639.735","1,087,052,140.292",503,Anders,1,2015
id_67091826,sample_oslo_change_dw_2015_2021,8,4,Shrub,"5,997,744,639.735","1,087,052,140.292",503,Anders,1,2018
id_67091826,sample_oslo_change_dw_2015_2021,8,4,Shrub,"5,997,744,639.735","1,087,052,140.292",503,Anders,1,2021
id_67109256,sample_oslo_change_dw_2015_2018,6,1,Skip,"5,996,193,318.478","1,067,476,240.757",504,Anders,1,2015
id_67109256,sample_oslo_change_dw_2015_2018,6,1,Skip,"5,996,193,318.478","1,067,476,240.757",504,Anders,1,2018
id_67109256,sample_oslo_change_dw_2015_2018,6,1,Skip,"5,996,193,318.478","1,067,476,240.757",504,Anders,1,2021
id_67126617,sample_oslo_change_me_2015_2021,6,8,Water,"5,986,765,441.121","1,078,236,497.509",505,Anders,8,2015
id_67126617,sample_oslo_change_me_2015_2021,6,8,Water,"5,986,765,441.121","1,078,236,497.509",505,Anders,8,2018
id_67126617,sample_oslo_change_me_2015_2021,6,8,Water,"5,986,765,441.121","1,078,236,497.509",505,Anders,8,2021
id_67144905,sample_oslo_change_me_2015_2021,6,1,Built,"5,982,019,173.96","1,083,743,933.22",506,Anders,1,2015
id_67144905,sample_oslo_change_me_2015_2021,6,1,Built,"5,982,019,173.96","1,083,743,933.22",506,Anders,1,2018
id_67144905,sample_oslo_change_me_2015_2021,6,1,Built,"5,982,019,173.96","1,083,743,933.22",506,Anders,1,2021
id_67148356,sample_oslo_change_dw_2015_2018,4,5,Water,"6,006,350,258.858","1,058,809,977.86",507,Anders,8,2015
id_67148356,sample_oslo_change_dw_2015_2018,4,5,Bare,"6,006,350,258.858","1,058,809,977.86",507,Anders,8,2018
id_67148356,sample_oslo_change_dw_2015_2018,4,5,Water,"6,006,350,258.858","1,058,809,977.86",507,Anders,8,2021
id_67152255,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,998,625,758.103","1,068,280,216.677",508,Anders,6,2015
id_67152255,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,998,625,758.103","1,068,280,216.677",508,Anders,6,2018
id_67152255,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,998,625,758.103","1,068,280,216.677",508,Anders,6,2021
id_67155801,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,006,833,179.502","1,067,692,061.248",509,Anders,6,2015
id_67155801,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,006,833,179.502","1,067,692,061.248",509,Anders,6,2018
id_67155801,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,006,833,179.502","1,067,692,061.248",509,Anders,6,2021
id_67193531,sample_oslo_change_dw_2015_2018,14,1,Built,"5,997,068,640.015","1,087,856,116.212",510,Anders,2,2015
id_67193531,sample_oslo_change_dw_2015_2018,14,1,Built,"5,997,068,640.015","1,087,856,116.212",510,Anders,2,2018
id_67193531,sample_oslo_change_dw_2015_2018,14,1,Built,"5,997,068,640.015","1,087,856,116.212",510,Anders,2,2021
id_67248990,sample_oslo_change_dw_2015_2021,6,1,Built,"5,992,989,900.281","1,083,455,875.292",511,Anders,1,2015
id_67248990,sample_oslo_change_dw_2015_2021,6,1,Built,"5,992,989,900.281","1,083,455,875.292",511,Anders,1,2018
