PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_19814089,sample_oslo_change_me_2018_2021,3,8,Wetland,"5,996,740,450.177","1,062,487,844.409",42,David,8,2015
id_19814089,sample_oslo_change_me_2018_2021,3,8,Wetland,"5,996,740,450.177","1,062,487,844.409",42,David,8,2018
id_19807863,sample_oslo_change_me_2015_2021,11,6,Tree,"6,002,411,980.807","1,076,153,205.497",41,David,6,2015
id_19807863,sample_oslo_change_me_2015_2021,11,6,Tree,"6,002,411,980.807","1,076,153,205.497",41,David,6,2018
id_19807863,sample_oslo_change_me_2015_2021,11,6,Tree,"6,002,411,980.807","1,076,153,205.497",41,David,6,2021
id_19814089,sample_oslo_change_me_2018_2021,3,8,Wetland,"5,996,740,450.177","1,062,487,844.409",42,David,8,2015
id_19814089,sample_oslo_change_me_2018_2021,3,8,Wetland,"5,996,740,450.177","1,062,487,844.409",42,David,8,2018
id_19814089,sample_oslo_change_me_2018_2021,3,8,Wetland,"5,996,740,450.177","1,062,487,844.409",42,David,8,2021
id_19883605,sample_oslo_change_me_2018_2021,5,8,Water,"5,987,675,097.736","1,077,374,107.366",43,David,1,2015
id_19883605,sample_oslo_change_me_2018_2021,5,8,Water,"5,987,675,097.736","1,077,374,107.366",43,David,1,2018
id_19883605,sample_oslo_change_me_2018_2021,5,8,Water,"5,987,675,097.736","1,077,374,107.366",43,David,1,2021
id_19972591,sample_oslo_change_dw_2018_2021,3,6,Water,"6,012,085,108.723","1,062,811,575.145",44,David,8,2015
id_19972591,sample_oslo_change_dw_2018_2021,3,6,Water,"6,012,085,108.723","1,062,811,575.145",44,David,8,2018
id_19972591,sample_oslo_change_dw_2018_2021,3,6,Water,"6,012,085,108.723","1,062,811,575.145",44,David,8,2021
id_20204413,sample_oslo_change_dw_2015_2018,7,6,Shrub,"5,996,060,883.177","1,072,162,310.054",45,David,1,2015
id_20204413,sample_oslo_change_dw_2015_2018,7,6,Shrub,"5,996,060,883.177","1,072,162,310.054",45,David,1,2018
id_20204413,sample_oslo_change_dw_2015_2018,7,6,Shrub,"5,996,060,883.177","1,072,162,310.054",45,David,1,2021
id_20801903,sample_oslo_change_me_2015_2018,8,1,Built,"5,991,237,919.477","1,078,261,468.475",46,David,1,2015
id_20801903,sample_oslo_change_me_2015_2018,8,1,Built,"5,991,237,919.477","1,078,261,468.475",46,David,1,2018
id_20801903,sample_oslo_change_me_2015_2018,8,1,Built,"5,991,237,919.477","1,078,261,468.475",46,David,1,2021
id_20883315,sample_oslo_change_me_2015_2021,1,8,Water,"5,998,269,475.929","1,078,980,275.565",47,David,8,2015
id_20883315,sample_oslo_change_me_2015_2021,1,8,Water,"5,998,269,475.929","1,078,980,275.565",47,David,8,2018
id_20883315,sample_oslo_change_me_2015_2021,1,8,Water,"5,998,269,475.929","1,078,980,275.565",47,David,8,2021
id_21091943,sample_oslo_change_me_2018_2021,7,6,Built,"5,986,478,275.013","1,081,507,248.132",48,David,1,2015
id_21091943,sample_oslo_change_me_2018_2021,7,6,Built,"5,986,478,275.013","1,081,507,248.132",48,David,1,2018
id_21091943,sample_oslo_change_me_2018_2021,7,6,Built,"5,986,478,275.013","1,081,507,248.132",48,David,1,2021
id_21681655,sample_oslo_change_me_2015_2018,9,8,Water,"6,009,909,513.319","1,074,269,235.302",49,David,6,2015
id_21681655,sample_oslo_change_me_2015_2018,9,8,Water,"6,009,909,513.319","1,074,269,235.302",49,David,6,2018
id_21681655,sample_oslo_change_me_2015_2018,9,8,Water,"6,009,909,513.319","1,074,269,235.302",49,David,6,2021
id_21757082,sample_oslo_change_me_2015_2018,4,8,Water,"6,006,776,103.008","1,058,488,922.584",50,David,8,2015
