PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_34739564,sample_oslo_change_me_2015_2018,4,8,Mixed,"6,009,476,534.606","1,067,448,594.331",501,Erik,8,2015
id_34739564,sample_oslo_change_me_2015_2018,4,8,Mixed,"6,009,476,534.606","1,067,448,594.331",501,Erik,8,2018
id_34739564,sample_oslo_change_me_2015_2018,4,8,Mixed,"6,009,476,534.606","1,067,448,594.331",501,Erik,8,2021
id_34740742,sample_oslo_change_me_2018_2021,3,6,Shrub,"6,005,193,122.134","1,064,555,529.567",502,Erik,8,2015
id_34740742,sample_oslo_change_me_2018_2021,3,6,Shrub,"6,005,193,122.134","1,064,555,529.567",502,Erik,8,2018
id_34740742,sample_oslo_change_me_2018_2021,3,6,Shrub,"6,005,193,122.134","1,064,555,529.567",502,Erik,8,2021
id_34742033,sample_oslo_change_dw_2015_2018,10,1,Grass,"5,996,316,835.577","1,087,652,335.294",503,Erik,6,2015
id_34742033,sample_oslo_change_dw_2015_2018,10,1,Grass,"5,996,316,835.577","1,087,652,335.294",503,Erik,6,2018
id_34742033,sample_oslo_change_dw_2015_2018,10,1,Grass,"5,996,316,835.577","1,087,652,335.294",503,Erik,6,2021
id_34742189,sample_oslo_change_me_2015_2021,11,6,Tree,"6,005,340,272.469","1,076,794,424.229",504,Erik,6,2015
id_34742189,sample_oslo_change_me_2015_2021,11,6,Tree,"6,005,340,272.469","1,076,794,424.229",504,Erik,6,2018
id_34742189,sample_oslo_change_me_2015_2021,11,6,Tree,"6,005,340,272.469","1,076,794,424.229",504,Erik,6,2021
id_34761167,sample_oslo_change_dw_2015_2018,3,6,Water,"6,011,411,338.553","1,074,798,530.597",505,Erik,8,2015
id_34761167,sample_oslo_change_dw_2015_2018,3,6,Water,"6,011,411,338.553","1,074,798,530.597",505,Erik,8,2018
id_34761167,sample_oslo_change_dw_2015_2018,3,6,Water,"6,011,411,338.553","1,074,798,530.597",505,Erik,8,2021
id_34787562,sample_oslo_change_me_2015_2018,1,8,Water,"5,987,853,461.778","1,075,454,018.452",506,Erik,8,2015
id_34787562,sample_oslo_change_me_2015_2018,1,8,Water,"5,987,853,461.778","1,075,454,018.452",506,Erik,8,2018
id_34787562,sample_oslo_change_me_2015_2018,1,8,Water,"5,987,853,461.778","1,075,454,018.452",506,Erik,8,2021
id_34791317,sample_oslo_change_dw_2015_2021,12,6,Skip,"6,009,680,315.524","1,061,901,472.62",507,Erik,6,2015
id_34791317,sample_oslo_change_dw_2015_2021,12,6,Skip,"6,009,680,315.524","1,061,901,472.62",507,Erik,6,2018
id_34791317,sample_oslo_change_dw_2015_2021,12,6,Skip,"6,009,680,315.524","1,061,901,472.62",507,Erik,6,2021
id_34799064,sample_oslo_change_dw_2015_2018,11,6,Shrub,"5,983,048,334.483","1,078,144,640.028",508,Erik,6,2015
id_34799064,sample_oslo_change_dw_2015_2018,11,6,Shrub,"5,983,048,334.483","1,078,144,640.028",508,Erik,6,2018
id_34799064,sample_oslo_change_dw_2015_2018,11,6,Shrub,"5,983,048,334.483","1,078,144,640.028",508,Erik,6,2021
id_3484454,sample_oslo_change_me_2018_2021,8,4,Grass,"5,988,777,833.426","1,077,522,149.521",509,Erik,1,2015
id_3484454,sample_oslo_change_me_2018_2021,8,4,Grass,"5,988,777,833.426","1,077,522,149.521",509,Erik,1,2018
id_3484454,sample_oslo_change_me_2018_2021,8,4,Grass,"5,988,777,833.426","1,077,522,149.521",509,Erik,1,2021
id_34880304,sample_oslo_change_me_2015_2021,12,6,Built,"6,005,102,602.383","1,063,886,218.499",510,Erik,6,2015
id_34880304,sample_oslo_change_me_2015_2021,12,6,Built,"6,005,102,602.383","1,063,886,218.499",510,Erik,6,2018
id_34880304,sample_oslo_change_me_2015_2021,12,6,Built,"6,005,102,602.383","1,063,886,218.499",510,Erik,6,2021
id_34914021,sample_oslo_change_me_2015_2021,11,6,Tree,"6,006,610,670.359","1,075,820,110.648",511,Erik,6,2015
id_34914021,sample_oslo_change_me_2015_2021,11,6,Tree,"6,006,610,670.359","1,075,820,110.648",511,Erik,6,2018
id_34914021,sample_oslo_change_me_2015_2021,11,6,Tree,"6,006,610,670.359","1,075,820,110.648",511,Erik,6,2021
id_34926937,sample_oslo_change_me_2015_2021,5,8,Water,"5,991,135,806.063","1,066,130,484.059",512,Erik,1,2015
id_34926937,sample_oslo_change_me_2015_2021,5,8,Water,"5,991,135,806.063","1,066,130,484.059",512,Erik,1,2018
id_34926937,sample_oslo_change_me_2015_2021,5,8,Water,"5,991,135,806.063","1,066,130,484.059",512,Erik,1,2021
id_34927898,sample_oslo_change_me_2015_2018,2,8,Water,"5,990,626,130.813","1,075,671,622.583",513,Erik,8,2015
id_34927898,sample_oslo_change_me_2015_2018,2,8,Water,"5,990,626,130.813","1,075,671,622.583",513,Erik,8,2018
id_34927898,sample_oslo_change_me_2015_2018,2,8,Water,"5,990,626,130.813","1,075,671,622.583",513,Erik,8,2021
id_34942572,sample_oslo_change_dw_2018_2021,8,4,Mixed,"5,990,313,101.919","1,070,094,624.896",514,Erik,1,2015
id_34942572,sample_oslo_change_dw_2018_2021,8,4,Mixed,"5,990,313,101.919","1,070,094,624.896",514,Erik,1,2018
id_34942572,sample_oslo_change_dw_2018_2021,8,4,Mixed,"5,990,313,101.919","1,070,094,624.896",514,Erik,1,2021
id_34966505,sample_oslo_change_me_2015_2018,5,8,Water,"5,987,667,071.354","1,077,320,152.243",515,Erik,8,2015
id_34966505,sample_oslo_change_me_2015_2018,5,8,Water,"5,987,667,071.354","1,077,320,152.243",515,Erik,8,2018
id_34966505,sample_oslo_change_me_2015_2018,5,8,Water,"5,987,667,071.354","1,077,320,152.243",515,Erik,8,2021
id_34972018,sample_oslo_change_dw_2015_2018,6,1,Crops,"6,001,642,339.965","1,061,185,340.991",516,Erik,1,2015
id_34972018,sample_oslo_change_dw_2015_2018,6,1,Crops,"6,001,642,339.965","1,061,185,340.991",516,Erik,1,2018
