PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_40183839,sample_oslo_change_dw_2015_2021,7,6,Tree,"5,994,871,640.926","1,092,584,101.059",0,Megan,1,2015
id_40183839,sample_oslo_change_dw_2015_2021,7,6,Tree,"5,994,871,640.926","1,092,584,101.059",0,Megan,1,2018
id_40183839,sample_oslo_change_dw_2015_2021,7,6,Tree,"5,994,871,640.926","1,092,584,101.059",0,Megan,1,2021
id_40186774,sample_oslo_change_me_2015_2021,11,6,Tree,"6,005,696,554.643","1,076,346,284.573",1,Megan,6,2015
id_40186774,sample_oslo_change_me_2015_2021,11,6,Tree,"6,005,696,554.643","1,076,346,284.573",1,Megan,6,2018
id_40186774,sample_oslo_change_me_2015_2021,11,6,Tree,"6,005,696,554.643","1,076,346,284.573",1,Megan,6,2021
id_40209982,sample_oslo_change_me_2015_2018,14,1,Mixed,"5,995,062,936.361","1,074,975,556.909",2,Megan,4,2015
id_40209982,sample_oslo_change_me_2015_2018,14,1,Mixed,"5,995,062,936.361","1,074,975,556.909",2,Megan,4,2018
id_40209982,sample_oslo_change_me_2015_2018,14,1,Mixed,"5,995,062,936.361","1,074,975,556.909",2,Megan,4,2021
id_40219725,sample_oslo_change_me_2015_2018,11,6,Tree,"6,011,207,557.635","1,071,836,795.677",3,Megan,6,2015
id_40219725,sample_oslo_change_me_2015_2018,11,6,Tree,"6,011,207,557.635","1,071,836,795.677",3,Megan,6,2018
id_40219725,sample_oslo_change_me_2015_2018,11,6,Tree,"6,011,207,557.635","1,071,836,795.677",3,Megan,6,2021
id_40232181,sample_oslo_change_me_2015_2021,6,1,Tree,"5,996,113,500.569","1,087,425,812.96",4,Megan,1,2015
id_40232181,sample_oslo_change_me_2015_2021,6,1,Tree,"5,996,113,500.569","1,087,425,812.96",4,Megan,1,2018
id_40232181,sample_oslo_change_me_2015_2021,6,1,Tree,"5,996,113,500.569","1,087,425,812.96",4,Megan,1,2021
id_402835,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,982,881,118.193","1,077,208,228.806",5,Megan,6,2015
id_402835,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,982,881,118.193","1,077,208,228.806",5,Megan,6,2018
id_402835,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,982,881,118.193","1,077,208,228.806",5,Megan,6,2021
id_40290177,sample_oslo_change_me_2018_2021,5,8,Water,"5,990,626,130.813","1,075,671,622.583",6,Megan,8,2015
id_40290177,sample_oslo_change_me_2018_2021,5,8,Water,"5,990,626,130.813","1,075,671,622.583",6,Megan,8,2018
id_40290177,sample_oslo_change_me_2018_2021,5,8,Water,"5,990,626,130.813","1,075,671,622.583",6,Megan,8,2021
id_40294880,sample_oslo_change_me_2015_2018,11,6,Tree,"5,996,982,133.455","1,066,172,399.609",7,Megan,6,2015
id_40294880,sample_oslo_change_me_2015_2018,11,6,Tree,"5,996,982,133.455","1,066,172,399.609",7,Megan,6,2018
id_40294880,sample_oslo_change_me_2015_2018,11,6,Tree,"5,996,982,133.455","1,066,172,399.609",7,Megan,6,2021
id_40360377,sample_oslo_change_me_2018_2021,11,6,Tree,"6,003,627,531.754","1,079,287,953.538",8,Megan,6,2015
id_40360377,sample_oslo_change_me_2018_2021,11,6,Tree,"6,003,627,531.754","1,079,287,953.538",8,Megan,6,2018
id_40360377,sample_oslo_change_me_2018_2021,11,6,Tree,"6,003,627,531.754","1,079,287,953.538",8,Megan,6,2021
id_40370631,sample_oslo_change_me_2015_2021,13,8,Skip,"6,011,539,760.664","1,064,782,051.901",9,Megan,8,2015
id_40370631,sample_oslo_change_me_2015_2021,13,8,Skip,"6,011,539,760.664","1,064,782,051.901",9,Megan,8,2018
id_40370631,sample_oslo_change_me_2015_2021,13,8,Skip,"6,011,539,760.664","1,064,782,051.901",9,Megan,8,2021
id_40409214,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,001,675,337.313","1,049,184,562.326",10,Megan,6,2015
id_40409214,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,001,675,337.313","1,049,184,562.326",10,Megan,6,2018
id_40409214,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,001,675,337.313","1,049,184,562.326",10,Megan,6,2021
id_40409312,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,989,329,424.227","1,078,588,320.582",11,Megan,6,2015
id_40409312,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,989,329,424.227","1,078,588,320.582",11,Megan,6,2018
id_40409312,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,989,329,424.227","1,078,588,320.582",11,Megan,6,2021
id_40411326,sample_oslo_change_dw_2015_2021,6,1,Tree,"5,995,204,735.775","1,073,783,193.287",12,Megan,1,2015
id_40411326,sample_oslo_change_dw_2015_2021,6,1,Tree,"5,995,204,735.775","1,073,783,193.287",12,Megan,1,2018
id_40411326,sample_oslo_change_dw_2015_2021,6,1,Tree,"5,995,204,735.775","1,073,783,193.287",12,Megan,1,2021
id_40446511,sample_oslo_change_me_2018_2021,11,6,Tree,"6,004,826,584.028","1,079,604,549.713",13,Megan,6,2015
id_40446511,sample_oslo_change_me_2018_2021,11,6,Tree,"6,004,826,584.028","1,079,604,549.713",13,Megan,6,2018
id_40446511,sample_oslo_change_me_2018_2021,11,6,Tree,"6,004,826,584.028","1,079,604,549.713",13,Megan,6,2021
id_4049275,sample_oslo_change_dw_2015_2021,6,1,Mixed,"5,991,893,853.242","1,082,822,682.943",15,Megan,1,2015
id_40448870,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,000,226,575.381","1,077,059,294.831",14,Megan,6,2015
id_40448870,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,000,226,575.381","1,077,059,294.831",14,Megan,6,2018
id_40448870,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,000,226,575.381","1,077,059,294.831",14,Megan,6,2021
id_4049275,sample_oslo_change_dw_2015_2021,6,1,Mixed,"5,991,893,853.242","1,082,822,682.943",15,Megan,1,2015
id_4049275,sample_oslo_change_dw_2015_2021,6,1,Mixed,"5,991,893,853.242","1,082,822,682.943",15,Megan,1,2018
id_4049275,sample_oslo_change_dw_2015_2021,6,1,Mixed,"5,991,893,853.242","1,082,822,682.943",15,Megan,1,2021
id_40551983,sample_oslo_change_me_2018_2021,11,6,Tree,"5,993,061,245.898","1,090,456,663.946",16,Megan,6,2015
id_40551983,sample_oslo_change_me_2018_2021,11,6,Tree,"5,993,061,245.898","1,090,456,663.946",16,Megan,6,2018
id_40551983,sample_oslo_change_me_2018_2021,11,6,Tree,"5,993,061,245.898","1,090,456,663.946",16,Megan,6,2021
id_4056684,sample_oslo_change_dw_2015_2018,7,6,Mixed,"5,983,514,310.543","1,077,563,173.25",17,Megan,1,2015
id_4056684,sample_oslo_change_dw_2015_2018,7,6,Mixed,"5,983,514,310.543","1,077,563,173.25",17,Megan,1,2018
id_4056684,sample_oslo_change_dw_2015_2018,7,6,Mixed,"5,983,514,310.543","1,077,563,173.25",17,Megan,1,2021
id_4058099,sample_oslo_change_dw_2015_2018,4,2,Water,"6,006,593,279.865","1,058,749,779.996",18,Megan,8,2015
id_4058099,sample_oslo_change_dw_2015_2018,4,2,Bare,"6,006,593,279.865","1,058,749,779.996",18,Megan,8,2018
id_4058099,sample_oslo_change_dw_2015_2018,4,2,Bare,"6,006,593,279.865","1,058,749,779.996",18,Megan,8,2021
id_40594840,sample_oslo_change_dw_2015_2018,14,1,Mixed,"5,983,887,091.391","1,084,399,866.985",19,Megan,2,2015
id_40594840,sample_oslo_change_dw_2015_2018,14,1,Mixed,"5,983,887,091.391","1,084,399,866.985",19,Megan,2,2018
id_40594840,sample_oslo_change_dw_2015_2018,14,1,Mixed,"5,983,887,091.391","1,084,399,866.985",19,Megan,2,2021
id_40612090,sample_oslo_change_dw_2018_2021,4,8,Tree,"5,989,141,250.162","1,083,136,157.747",20,Megan,8,2015
id_40612090,sample_oslo_change_dw_2018_2021,4,8,Tree,"5,989,141,250.162","1,083,136,157.747",20,Megan,8,2018
id_40612090,sample_oslo_change_dw_2018_2021,4,8,Tree,"5,989,141,250.162","1,083,136,157.747",20,Megan,8,2021
id_40622946,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,991,262,444.533","1,083,682,397.626",21,Megan,1,2015
id_40622946,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,991,262,444.533","1,083,682,397.626",21,Megan,1,2018
id_40622946,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,991,262,444.533","1,083,682,397.626",21,Megan,1,2021
id_40626833,sample_oslo_change_me_2015_2021,8,1,Mixed,"5,984,510,473.718","1,083,488,426.73",22,Megan,1,2015
id_40626833,sample_oslo_change_me_2015_2021,8,1,Mixed,"5,984,510,473.718","1,083,488,426.73",22,Megan,1,2018
id_40626833,sample_oslo_change_me_2015_2021,8,1,Mixed,"5,984,510,473.718","1,083,488,426.73",22,Megan,1,2021
id_40648414,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,996,982,133.455","1,066,172,399.609",23,Megan,6,2015
id_40648414,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,996,982,133.455","1,066,172,399.609",23,Megan,6,2018
id_40648414,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,996,982,133.455","1,066,172,399.609",23,Megan,6,2021
id_40672779,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,992,552,462.468","1,089,622,366.139",24,Megan,6,2015
id_40672779,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,992,552,462.468","1,089,622,366.139",24,Megan,6,2018
id_40672779,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,992,552,462.468","1,089,622,366.139",24,Megan,6,2021
id_40706272,sample_oslo_change_dw_2018_2021,12,4,Tree,"6,006,245,469.983","1,074,237,575.685",25,Megan,6,2015
