PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_50446982,sample_oslo_change_me_2015_2018,6,1,Built,"5,990,294,819.605","1,074,223,752.471",501,Megan,1,2015
id_50446982,sample_oslo_change_me_2015_2018,6,1,Built,"5,990,294,819.605","1,074,223,752.471",501,Megan,1,2018
id_50446982,sample_oslo_change_me_2015_2018,6,1,Built,"5,990,294,819.605","1,074,223,752.471",501,Megan,1,2021
id_50463720,sample_oslo_change_me_2015_2018,14,1,Bare,"5,989,142,587.892","1,079,757,942.789",502,Megan,6,2015
id_50463720,sample_oslo_change_me_2015_2018,14,1,Bare,"5,989,142,587.892","1,079,757,942.789",502,Megan,6,2018
id_50463720,sample_oslo_change_me_2015_2018,14,1,Grass,"5,989,142,587.892","1,079,757,942.789",502,Megan,6,2021
id_504858,sample_oslo_change_dw_2018_2021,9,8,Water,"6,013,157,076.616","1,064,718,732.666",503,Megan,6,2015
id_504858,sample_oslo_change_dw_2018_2021,9,8,Water,"6,013,157,076.616","1,064,718,732.666",503,Megan,6,2018
id_504858,sample_oslo_change_dw_2018_2021,9,8,Water,"6,013,157,076.616","1,064,718,732.666",503,Megan,6,2021
id_5052630,sample_oslo_change_dw_2015_2021,11,6,Shrub,"5,983,640,057.192","1,086,010,494.286",504,Megan,6,2015
id_5052630,sample_oslo_change_dw_2015_2021,11,6,Shrub,"5,983,640,057.192","1,086,010,494.286",504,Megan,6,2018
id_5052630,sample_oslo_change_dw_2015_2021,11,6,Shrub,"5,983,640,057.192","1,086,010,494.286",504,Megan,6,2021
id_50583966,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,988,071,511.819","1,089,545,669.601",505,Megan,6,2015
id_50583966,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,988,071,511.819","1,089,545,669.601",505,Megan,6,2018
id_50583966,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,988,071,511.819","1,089,545,669.601",505,Megan,6,2021
id_50650013,sample_oslo_change_me_2015_2018,9,8,Water,"6,005,228,794.943","1,073,016,673.816",506,Megan,8,2015
id_50650013,sample_oslo_change_me_2015_2018,9,8,Water,"6,005,228,794.943","1,073,016,673.816",506,Megan,8,2018
id_50650013,sample_oslo_change_me_2015_2018,9,8,Water,"6,005,228,794.943","1,073,016,673.816",506,Megan,8,2021
id_50654449,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,003,433,114.949","1,075,004,986.976",507,Megan,6,2015
