PLOTID,LC,batch,groundTruth,lat,lon,sample_index,sampler,year
id_36411984,6,sample_oslo_calibrate,Tree,"5,997,336,186.078","1,084,789,146.507",51,Trond,2018
id_37546756,6,sample_oslo_calibrate,Shrub,"5,984,721,835.108","1,083,803,685.175",52,Trond,2018
id_37601873,6,sample_oslo_calibrate,Shrub,"6,002,042,321.33","1,076,277,168.506",53,Trond,2018
id_37728535,1,sample_oslo_calibrate,Built,"5,995,311,754.2","1,085,697,019.482",54,Trond,2018
id_37763101,6,sample_oslo_calibrate,Tree,"6,003,038,930.415","1,068,719,884.041",55,Trond,2018
id_37910096,6,sample_oslo_calibrate,Tree,"6,008,525,854.262","1,076,353,865.045",56,Trond,2018
id_38003838,4,sample_oslo_calibrate,Crops,"5,990,849,977.686","1,068,137,079.533",57,Trond,2018
id_38122533,6,sample_oslo_calibrate,Tree,"6,011,362,734.352","1,063,117,915.388",58,Trond,2018
id_38382820,8,sample_oslo_calibrate,Water,"5,985,633,275.363","1,076,925,967.71",59,Trond,2018
id_38749423,6,sample_oslo_calibrate,Tree,"6,010,565,001.173","1,068,727,018.603",60,Trond,2018
id_39105475,1,sample_oslo_calibrate,Mixed,"5,993,536,586.071","1,066,608,499.692",61,Trond,2018
id_39117107,2,sample_oslo_calibrate,Crops,"5,988,944,603.806","1,083,071,500.782",62,Trond,2018
id_39246190,7,sample_oslo_calibrate,Shrub,"6,004,236,644.958","1,056,033,295.634",63,Trond,2018
id_39526995,6,sample_oslo_calibrate,Tree,"6,004,925,130.161","1,063,733,717.243",64,Trond,2018
id_39636240,1,sample_oslo_calibrate,Built,"5,992,076,230.476","1,067,769,649.607",65,Trond,2018
id_40286803,1,sample_oslo_calibrate,Built,"5,988,451,873.139","1,077,040,120.697",66,Trond,2018
id_40936236,6,sample_oslo_calibrate,Tree,"6,005,758,982.058","1,079,726,729.081",67,Trond,2018
id_4132362,5,sample_oslo_calibrate,Tree,"6,004,935,386.093","1,081,496,100.379",68,Trond,2018
id_41376357,6,sample_oslo_calibrate,Tree,"6,006,057,741.829","1,056,208,984.215",69,Trond,2018
id_42040673,1,sample_oslo_calibrate,Mixed,"5,995,959,661.583","1,091,876,887.632",70,Trond,2018
id_42234037,3,sample_oslo_calibrate,Bare,"6,006,476,897.328","1,058,708,310.356",71,Trond,2018
id_42247552,1,sample_oslo_calibrate,Tree,"5,995,180,210.719","1,067,335,333.164",72,Trond,2018
id_42495270,6,sample_oslo_calibrate,Tree,"6,005,936,008.37","1,062,580,593.711",73,Trond,2018
id_43402836,6,sample_oslo_calibrate,Tree,"5,987,779,440.7","1,086,080,948.083",74,Trond,2018
id_43600895,6,sample_oslo_calibrate,Tree,"6,001,979,893.915","1,052,391,993.714",75,Trond,2018
id_43840414,4,sample_oslo_calibrate,Grass,"6,001,301,664.645","1,052,827,201.976",76,Trond,2018
id_43930773,4,sample_oslo_calibrate,Grass,"5,989,044,041.759","1,069,582,720.095",77,Trond,2018
id_43963528,6,sample_oslo_calibrate,Tree,"6,000,803,137.147","1,066,561,233.221",78,Trond,2018
id_45928384,4,sample_oslo_calibrate,Built,"5,997,564,937.962","1,087,059,720.764",79,Trond,2018
id_45951590,6,sample_oslo_calibrate,Tree,"6,005,558,768.421","1,075,225,266.568",80,Trond,2018
id_45967141,5,sample_oslo_calibrate,Tree,"6,001,504,999.653","1,055,384,050.521",81,Trond,2018
id_47095342,5,sample_oslo_calibrate,Grass,"6,003,083,967.336","1,063,714,543.109",82,Trond,2018
id_47346637,3,sample_oslo_calibrate,Water,"6,006,007,353.987","1,058,937,062.24",83,Trond,2018
id_47988230,1,sample_oslo_calibrate,Built,"5,991,502,790.08","1,078,579,848.29",84,Trond,2018
id_48021205,7,sample_oslo_calibrate,Wetland,"6,011,161,628.894","1,073,309,636.755",85,Trond,2018
id_48164639,1,sample_oslo_calibrate,Tree,"5,994,546,572.459","1,073,265,045.745",86,Trond,2018
id_52217402,1,sample_oslo_calibrate,Built,"5,992,139,103.8","1,065,643,996.134",87,Trond,2018
id_52464933,6,sample_oslo_calibrate,Tree,"5,983,350,661.534","1,088,652,957.57",88,Trond,2018
id_53341055,4,sample_oslo_calibrate,Tree,"5,993,315,414.658","1,092,744,182.787",89,Trond,2018
id_53363812,6,sample_oslo_calibrate,Tree,"6,005,122,668.338","1,075,615,437.91",90,Trond,2018
id_53392867,6,sample_oslo_calibrate,Tree,"5,995,391,572.109","1,077,267,088.94",91,Trond,2018
id_54746674,1,sample_oslo_calibrate,Built,"5,993,516,966.026","1,066,052,449.791",92,Trond,2018
id_54851916,7,sample_oslo_calibrate,Wetland,"6,006,469,316.856","1,062,319,290.389",93,Trond,2018
id_55643723,4,sample_oslo_calibrate,Grass,"5,996,091,650.974","1,079,310,249.043",94,Trond,2018
id_55774973,5,sample_oslo_calibrate,Grass,"6,002,105,194.655","1,055,537,889.507",95,Trond,2018
id_55892339,3,sample_oslo_calibrate,Bare,"6,006,124,628.344","1,058,888,903.949",96,Trond,2018
id_56374848,1,sample_oslo_calibrate,Built,"5,993,144,631.088","1,078,059,471.198",97,Trond,2018
id_57302502,6,sample_oslo_calibrate,Tree,"6,004,301,747.834","1,081,209,826.092",98,Trond,2018
id_57572611,8,sample_oslo_calibrate,Water,"5,987,655,031.781","1,074,156,865.956",99,Trond,2018
id_57921949,6,sample_oslo_calibrate,Tree,"5,994,845,332.23","1,083,719,408.165",100,Trond,2018
