PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_15775754,sample_oslo_change_me_2015_2021,4,8,Water,"6,004,582,225.29","1,070,953,447.759",301,Trond,8,2015
id_15775754,sample_oslo_change_me_2015_2021,4,8,Water,"6,004,582,225.29","1,070,953,447.759",301,Trond,8,2018
id_15775754,sample_oslo_change_me_2015_2021,4,8,Water,"6,004,582,225.29","1,070,953,447.759",301,Trond,8,2021
id_15779160,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,998,898,209.177","1,081,613,374.737",302,Trond,6,2015
id_15779160,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,998,898,209.177","1,081,613,374.737",302,Trond,6,2018
id_15779160,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,998,898,209.177","1,081,613,374.737",302,Trond,6,2021
id_15828199,sample_oslo_change_dw_2015_2018,3,6,Tree,"5,987,235,430.372","1,077,350,474.13",303,Trond,8,2015
id_15828199,sample_oslo_change_dw_2015_2018,3,6,Tree,"5,987,235,430.372","1,077,350,474.13",303,Trond,8,2018
id_15828199,sample_oslo_change_dw_2015_2018,3,6,Tree,"5,987,235,430.372","1,077,350,474.13",303,Trond,8,2021
id_15847898,sample_oslo_change_me_2018_2021,13,8,Water,"6,005,844,150.888","1,059,055,228.418",304,Trond,2,2015
id_15847898,sample_oslo_change_me_2018_2021,13,8,Water,"6,005,844,150.888","1,059,055,228.418",304,Trond,2,2018
id_15847898,sample_oslo_change_me_2018_2021,13,8,Water,"6,005,844,150.888","1,059,055,228.418",304,Trond,2,2021
id_15856665,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,997,228,275.833","1,080,249,781.635",305,Trond,6,2015
id_15856665,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,997,228,275.833","1,080,249,781.635",305,Trond,6,2018
id_15856665,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,997,228,275.833","1,080,249,781.635",305,Trond,6,2021
id_15868635,sample_oslo_change_me_2015_2021,11,6,Tree,"5,999,383,805.282","1,066,579,515.535",306,Trond,6,2015
id_15868635,sample_oslo_change_me_2015_2021,11,6,Tree,"5,999,383,805.282","1,066,579,515.535",306,Trond,6,2018
id_15868635,sample_oslo_change_me_2015_2021,11,6,Tree,"5,999,383,805.282","1,066,579,515.535",306,Trond,6,2021
id_15894186,sample_oslo_change_dw_2015_2018,16,4,Tree,"5,991,426,093.542","1,068,040,762.951",307,Trond,4,2015
id_15894186,sample_oslo_change_dw_2015_2018,16,4,Crops,"5,991,426,093.542","1,068,040,762.951",307,Trond,4,2018
id_15894186,sample_oslo_change_dw_2015_2018,16,4,Crops,"5,991,426,093.542","1,068,040,762.951",307,Trond,4,2021
id_15929267,sample_oslo_change_me_2018_2021,11,6,Crops,"5,999,064,087.736","1,067,728,625.877",308,Trond,6,2015
id_15929267,sample_oslo_change_me_2018_2021,11,6,Tree,"5,999,064,087.736","1,067,728,625.877",308,Trond,6,2018
id_15929267,sample_oslo_change_me_2018_2021,11,6,Tree,"5,999,064,087.736","1,067,728,625.877",308,Trond,6,2021
id_1594096,sample_oslo_change_me_2015_2018,15,6,Built,"5,997,514,996.03","1,064,514,505.838",310,Trond,6,2015
id_1594096,sample_oslo_change_me_2015_2018,15,6,Built,"5,997,514,996.03","1,064,514,505.838",310,Trond,6,2018
id_15933050,sample_oslo_change_dw_2015_2018,5,8,Built,"5,994,460,065.899","1,081,710,583.14",309,Trond,1,2015
id_15933050,sample_oslo_change_dw_2015_2018,5,8,Built,"5,994,460,065.899","1,081,710,583.14",309,Trond,1,2018
id_15933050,sample_oslo_change_dw_2015_2018,5,8,Built,"5,994,460,065.899","1,081,710,583.14",309,Trond,1,2021
id_1594096,sample_oslo_change_me_2015_2018,15,6,Tree,"5,997,514,996.03","1,064,514,505.838",310,Trond,6,2015
id_1594096,sample_oslo_change_me_2015_2018,15,6,Tree,"5,997,514,996.03","1,064,514,505.838",310,Trond,6,2018
id_1594096,sample_oslo_change_me_2015_2018,15,6,Tree,"5,997,514,996.03","1,064,514,505.838",310,Trond,6,2021
id_15969086,sample_oslo_change_me_2015_2018,8,4,Mixed,"5,994,695,506.434","1,069,423,530.187",311,Trond,1,2015
id_15969086,sample_oslo_change_me_2015_2018,8,4,Mixed,"5,994,695,506.434","1,069,423,530.187",311,Trond,1,2018
id_15969086,sample_oslo_change_me_2015_2018,8,4,Mixed,"5,994,695,506.434","1,069,423,530.187",311,Trond,1,2021
id_15982231,sample_oslo_change_dw_2018_2021,16,2,Crops,"5,999,459,164.09","1,075,996,245.14",312,Trond,2,2015
id_15982231,sample_oslo_change_dw_2018_2021,16,2,Crops,"5,999,459,164.09","1,075,996,245.14",312,Trond,2,2018
id_15982231,sample_oslo_change_dw_2018_2021,16,2,Crops,"5,999,459,164.09","1,075,996,245.14",312,Trond,2,2021
id_16000328,sample_oslo_change_me_2018_2021,10,1,Grass,"5,985,771,061.586","1,078,718,972.243",313,Trond,6,2015
id_16000328,sample_oslo_change_me_2018_2021,10,1,Grass,"5,985,771,061.586","1,078,718,972.243",313,Trond,6,2018
id_16000328,sample_oslo_change_me_2018_2021,10,1,Grass,"5,985,771,061.586","1,078,718,972.243",313,Trond,6,2021
id_16008103,sample_oslo_change_me_2015_2018,11,6,Tree,"6,003,535,228.363","1,080,772,834.189",314,Trond,6,2015
id_16008103,sample_oslo_change_me_2015_2018,11,6,Tree,"6,003,535,228.363","1,080,772,834.189",314,Trond,6,2018
id_16008103,sample_oslo_change_me_2015_2018,11,6,Tree,"6,003,535,228.363","1,080,772,834.189",314,Trond,6,2021
id_16046394,sample_oslo_change_me_2015_2021,12,4,Tree,"6,009,723,568.805","1,059,080,199.384",315,Trond,6,2015
id_16046394,sample_oslo_change_me_2015_2021,12,4,Shrub,"6,009,723,568.805","1,059,080,199.384",315,Trond,6,2018
id_16046394,sample_oslo_change_me_2015_2021,12,4,Shrub,"6,009,723,568.805","1,059,080,199.384",315,Trond,6,2021
id_16073214,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,999,758,815.68","1,079,114,494.507",316,Trond,6,2015
id_16073214,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,999,758,815.68","1,079,114,494.507",316,Trond,6,2018
id_16073214,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,999,758,815.68","1,079,114,494.507",316,Trond,6,2021
id_16075239,sample_oslo_change_dw_2018_2021,7,1,Mixed,"5,996,009,603.515","1,077,389,714.219",317,Trond,1,2015
