PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_84898959,sample_oslo_change_me_2015_2018,7,6,Built,"5,994,600,527.582","1,067,717,924.034",551,Zander1,1,2015
id_84898959,sample_oslo_change_me_2015_2018,7,6,Built,"5,994,600,527.582","1,067,717,924.034",551,Zander1,1,2018
id_84898959,sample_oslo_change_me_2015_2018,7,6,Built,"5,994,600,527.582","1,067,717,924.034",551,Zander1,1,2021
id_84917084,sample_oslo_change_me_2015_2018,13,8,Water,"5,988,470,601.364","1,082,920,337.256",552,Zander1,4,2015
id_84917084,sample_oslo_change_me_2015_2018,13,8,Water,"5,988,470,601.364","1,082,920,337.256",552,Zander1,4,2018
id_84917084,sample_oslo_change_me_2015_2018,13,8,Water,"5,988,470,601.364","1,082,920,337.256",552,Zander1,4,2021
id_84921376,sample_oslo_change_me_2018_2021,2,8,Built,"5,995,747,854.283","1,087,888,667.65",553,Zander1,8,2015
id_84921376,sample_oslo_change_me_2018_2021,2,8,Built,"5,995,747,854.283","1,087,888,667.65",553,Zander1,8,2018
id_84921376,sample_oslo_change_me_2018_2021,2,8,Built,"5,995,747,854.283","1,087,888,667.65",553,Zander1,8,2021
id_84925775,sample_oslo_change_dw_2015_2018,7,1,Grass,"5,997,132,851.07","1,081,319,519.978",554,Zander1,1,2015
id_84925775,sample_oslo_change_dw_2015_2018,7,1,Grass,"5,997,132,851.07","1,081,319,519.978",554,Zander1,1,2018
id_84925775,sample_oslo_change_dw_2015_2018,7,1,Grass,"5,997,132,851.07","1,081,319,519.978",554,Zander1,1,2021
id_84925802,sample_oslo_change_me_2018_2021,9,8,Water,"6,005,002,718.519","1,077,207,336.986",555,Zander1,8,2015
id_84925802,sample_oslo_change_me_2018_2021,9,8,Water,"6,005,002,718.519","1,077,207,336.986",555,Zander1,8,2018
id_84925802,sample_oslo_change_me_2018_2021,9,8,Water,"6,005,002,718.519","1,077,207,336.986",555,Zander1,8,2021
id_84941786,sample_oslo_change_me_2018_2021,6,1,Grass,"5,996,749,814.29","1,079,775,779.193",556,Zander1,1,2015
id_84941786,sample_oslo_change_me_2018_2021,6,1,Grass,"5,996,749,814.29","1,079,775,779.193",556,Zander1,1,2018
id_84941786,sample_oslo_change_me_2018_2021,6,1,Grass,"5,996,749,814.29","1,079,775,779.193",556,Zander1,1,2021
id_84981946,sample_oslo_change_me_2015_2018,11,6,Tree,"5,999,030,644.478","1,062,510,585.824",557,Zander1,6,2015
id_84981946,sample_oslo_change_me_2015_2018,11,6,Tree,"5,999,030,644.478","1,062,510,585.824",557,Zander1,6,2018
id_84981946,sample_oslo_change_me_2015_2018,11,6,Tree,"5,999,030,644.478","1,062,510,585.824",557,Zander1,6,2021
id_8504022,sample_oslo_change_me_2015_2018,11,6,Grass,"6,003,858,067.279","1,058,438,980.652",558,Zander1,6,2015
id_8504022,sample_oslo_change_me_2015_2018,11,6,Grass,"6,003,858,067.279","1,058,438,980.652",558,Zander1,6,2018
id_8504022,sample_oslo_change_me_2015_2018,11,6,Grass,"6,003,858,067.279","1,058,438,980.652",558,Zander1,6,2021
id_85054884,sample_oslo_change_me_2015_2018,8,8,Built,"5,994,442,675.405","1,081,674,018.511",559,Zander1,1,2015
id_85054884,sample_oslo_change_me_2015_2018,8,8,Built,"5,994,442,675.405","1,081,674,018.511",559,Zander1,1,2018
id_85054884,sample_oslo_change_me_2015_2018,8,8,Built,"5,994,442,675.405","1,081,674,018.511",559,Zander1,1,2021
id_85141498,sample_oslo_change_dw_2015_2018,11,6,Built,"5,988,029,596.27","1,081,698,989.477",560,Zander1,6,2015
id_85141498,sample_oslo_change_dw_2015_2018,11,6,Built,"5,988,029,596.27","1,081,698,989.477",560,Zander1,6,2018
id_85141498,sample_oslo_change_dw_2015_2018,11,6,Built,"5,988,029,596.27","1,081,698,989.477",560,Zander1,6,2021
id_85144403,sample_oslo_change_dw_2015_2021,15,5,Wetland,"5,999,764,166.602","1,054,513,633.995",561,Zander1,4,2015
id_85144403,sample_oslo_change_dw_2015_2021,15,5,Wetland,"5,999,764,166.602","1,054,513,633.995",561,Zander1,4,2018
id_85144403,sample_oslo_change_dw_2015_2021,15,5,Wetland,"5,999,764,166.602","1,054,513,633.995",561,Zander1,4,2021
id_85222512,sample_oslo_change_dw_2018_2021,11,6,Mixed,"6,000,944,490.651","1,077,115,479.504",562,Zander1,6,2015
id_85222512,sample_oslo_change_dw_2018_2021,11,6,Mixed,"6,000,944,490.651","1,077,115,479.504",562,Zander1,6,2018
id_85222512,sample_oslo_change_dw_2018_2021,11,6,Mixed,"6,000,944,490.651","1,077,115,479.504",562,Zander1,6,2021
id_85256491,sample_oslo_change_dw_2018_2021,6,1,Built,"5,995,465,593.186","1,074,405,683.794",563,Zander1,1,2015
id_85256491,sample_oslo_change_dw_2018_2021,6,1,Built,"5,995,465,593.186","1,074,405,683.794",563,Zander1,1,2018
id_85256491,sample_oslo_change_dw_2018_2021,6,1,Built,"5,995,465,593.186","1,074,405,683.794",563,Zander1,1,2021
id_85270333,sample_oslo_change_me_2015_2021,11,6,Tree,"5,997,292,486.888","1,083,424,661.585",564,Zander1,6,2015
