PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_7341289,sample_oslo_change_dw_2015_2021,8,4,Built,"5,995,777,284.35","1,090,827,661.15",0,Zander1,1,2015
id_7341289,sample_oslo_change_dw_2015_2021,8,4,Built,"5,995,777,284.35","1,090,827,661.15",0,Zander1,1,2018
id_7341289,sample_oslo_change_dw_2015_2021,8,4,Grass,"5,995,777,284.35","1,090,827,661.15",0,Zander1,1,2021
id_73447896,sample_oslo_change_dw_2015_2021,15,6,Grass,"5,990,374,637.51","1,076,999,542.88",1,Zander1,4,2015
id_73447896,sample_oslo_change_dw_2015_2021,15,6,Grass,"5,990,374,637.51","1,076,999,542.88",1,Zander1,4,2018
id_73447896,sample_oslo_change_dw_2015_2021,15,6,Grass,"5,990,374,637.51","1,076,999,542.88",1,Zander1,4,2021
id_73447897,sample_oslo_change_dw_2015_2021,1,8,Water,"5,999,575,992.54","1,076,683,838.52",2,Zander1,8,2015
id_73447897,sample_oslo_change_dw_2015_2021,1,8,Water,"5,999,575,992.54","1,076,683,838.52",2,Zander1,8,2018
id_73447897,sample_oslo_change_dw_2015_2021,1,8,Water,"5,999,575,992.54","1,076,683,838.52",2,Zander1,8,2021
id_7351887,sample_oslo_change_me_2015_2018,11,6,Tree,"5,987,055,282.69","1,086,486,726.28",3,Zander1,6,2015
id_7351887,sample_oslo_change_me_2015_2018,11,6,Tree,"5,987,055,282.69","1,086,486,726.28",3,Zander1,6,2018
id_7351887,sample_oslo_change_me_2015_2018,11,6,Tree,"5,987,055,282.69","1,086,486,726.28",3,Zander1,6,2021
id_73535109,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,001,448,369.07","1,070,899,492.64",4,Zander1,6,2015
id_73535109,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,001,448,369.07","1,070,899,492.64",4,Zander1,6,2018
id_73535109,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,001,448,369.07","1,070,899,492.64",4,Zander1,6,2021
id_73549150,sample_oslo_change_dw_2018_2021,6,1,Mixed,"5,991,262,444.53","1,083,682,397.63",5,Zander1,1,2015
id_73549150,sample_oslo_change_dw_2018_2021,6,1,Mixed,"5,991,262,444.53","1,083,682,397.63",5,Zander1,1,2018
id_73549150,sample_oslo_change_dw_2018_2021,6,1,Mixed,"5,991,262,444.53","1,083,682,397.63",5,Zander1,1,2021
id_73556846,sample_oslo_change_me_2018_2021,5,8,Water,"5,988,618,643.52","1,075,333,176.81",6,Zander1,8,2015
id_73556846,sample_oslo_change_me_2018_2021,5,8,Water,"5,988,618,643.52","1,075,333,176.81",6,Zander1,8,2018
id_73556846,sample_oslo_change_me_2018_2021,5,8,Water,"5,988,618,643.52","1,075,333,176.81",6,Zander1,8,2021
id_73595205,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,997,659,916.82","1,070,775,975.54",7,Zander1,6,2015
id_73595205,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,997,659,916.82","1,070,775,975.54",7,Zander1,6,2018
id_73595205,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,997,659,916.82","1,070,775,975.54",7,Zander1,6,2021
id_73597595,sample_oslo_change_me_2018_2021,11,6,Tree,"5,986,082,752.75","1,088,557,532.81",8,Zander1,6,2015
id_73597595,sample_oslo_change_me_2018_2021,11,6,Tree,"5,986,082,752.75","1,088,557,532.81",8,Zander1,6,2018
id_73597595,sample_oslo_change_me_2018_2021,11,6,Tree,"5,986,082,752.75","1,088,557,532.81",8,Zander1,6,2021
id_73609425,sample_oslo_change_dw_2015_2018,10,1,Grass,"5,987,152,937.00","1,084,027,086.14",9,Zander1,6,2015
id_73609425,sample_oslo_change_dw_2015_2018,10,1,Grass,"5,987,152,937.00","1,084,027,086.14",9,Zander1,6,2018
id_73609425,sample_oslo_change_dw_2015_2018,10,1,Grass,"5,987,152,937.00","1,084,027,086.14",9,Zander1,6,2021
id_7362400,sample_oslo_change_me_2015_2021,14,1,Built,"5,994,048,490.87","1,063,752,445.47",10,Zander1,6,2015
id_7362400,sample_oslo_change_me_2015_2021,14,1,Built,"5,994,048,490.87","1,063,752,445.47",10,Zander1,6,2018
id_7362400,sample_oslo_change_me_2015_2021,14,1,Built,"5,994,048,490.87","1,063,752,445.47",10,Zander1,6,2021
id_73633992,sample_oslo_change_dw_2015_2021,11,6,Grass,"6,003,858,067.28","1,058,438,980.65",11,Zander1,6,2015
id_73633992,sample_oslo_change_dw_2015_2021,11,6,Grass,"6,003,858,067.28","1,058,438,980.65",11,Zander1,6,2018
id_73633992,sample_oslo_change_dw_2015_2021,11,6,Grass,"6,003,858,067.28","1,058,438,980.65",11,Zander1,6,2021
id_73641169,sample_oslo_change_dw_2018_2021,6,1,Grass,"5,994,130,092.42","1,063,702,503.54",12,Zander1,1,2015
id_73641169,sample_oslo_change_dw_2018_2021,6,1,Grass,"5,994,130,092.42","1,063,702,503.54",12,Zander1,1,2018
id_73641169,sample_oslo_change_dw_2018_2021,6,1,Grass,"5,994,130,092.42","1,063,702,503.54",12,Zander1,1,2021
id_73652218,sample_oslo_change_dw_2015_2021,10,1,Built,"5,989,013,273.96","1,080,019,246.11",13,Zander1,6,2015
id_73652218,sample_oslo_change_dw_2015_2021,10,1,Built,"5,989,013,273.96","1,080,019,246.11",13,Zander1,6,2018
id_73652218,sample_oslo_change_dw_2015_2021,10,1,Built,"5,989,013,273.96","1,080,019,246.11",13,Zander1,6,2021
id_73678948,sample_oslo_change_me_2018_2021,8,4,Grass,"5,992,238,095.84","1,080,659,127.11",14,Zander1,1,2015
id_73678948,sample_oslo_change_me_2018_2021,8,4,Grass,"5,992,238,095.84","1,080,659,127.11",14,Zander1,1,2018
id_73678948,sample_oslo_change_me_2018_2021,8,4,Grass,"5,992,238,095.84","1,080,659,127.11",14,Zander1,1,2021
id_73727667,sample_oslo_change_dw_2018_2021,4,8,Built,"5,992,289,821.42","1,080,160,599.61",15,Zander1,8,2015
id_73727667,sample_oslo_change_dw_2018_2021,4,8,Built,"5,992,289,821.42","1,080,160,599.61",15,Zander1,8,2018
id_73727667,sample_oslo_change_dw_2018_2021,4,8,Built,"5,992,289,821.42","1,080,160,599.61",15,Zander1,8,2021
id_73740091,sample_oslo_change_dw_2018_2021,9,8,Skip,"6,006,142,018.84","1,058,925,468.58",16,Zander1,5,2015
id_73740091,sample_oslo_change_dw_2018_2021,9,8,Skip,"6,006,142,018.84","1,058,925,468.58",16,Zander1,5,2018
id_73740091,sample_oslo_change_dw_2018_2021,9,8,Skip,"6,006,142,018.84","1,058,925,468.58",16,Zander1,5,2021
id_73743965,sample_oslo_change_me_2018_2021,12,4,Mixed,"5,996,478,255.04","1,079,295,534.01",17,Zander1,6,2015
id_73743965,sample_oslo_change_me_2018_2021,12,4,Mixed,"5,996,478,255.04","1,079,295,534.01",17,Zander1,6,2018
id_73743965,sample_oslo_change_me_2018_2021,12,4,Mixed,"5,996,478,255.04","1,079,295,534.01",17,Zander1,6,2021
id_73793286,sample_oslo_change_me_2015_2021,11,6,Grass,"5,996,946,460.65","1,071,760,099.14",18,Zander1,6,2015
id_73793286,sample_oslo_change_me_2015_2021,11,6,Grass,"5,996,946,460.65","1,071,760,099.14",18,Zander1,6,2018
id_73793286,sample_oslo_change_me_2015_2021,11,6,Grass,"5,996,946,460.65","1,071,760,099.14",18,Zander1,6,2021
id_73812081,sample_oslo_change_dw_2015_2021,15,6,Shrub,"5,997,937,272.90","1,059,374,500.05",19,Zander1,4,2015
id_73812081,sample_oslo_change_dw_2015_2021,15,6,Shrub,"5,997,937,272.90","1,059,374,500.05",19,Zander1,4,2018
id_73812081,sample_oslo_change_dw_2015_2021,15,6,Shrub,"5,997,937,272.90","1,059,374,500.05",19,Zander1,4,2021
id_73847180,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,996,702,547.82","1,088,963,756.91",20,Zander1,6,2015
id_73847180,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,996,702,547.82","1,088,963,756.91",20,Zander1,6,2018
id_73847180,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,996,702,547.82","1,088,963,756.91",20,Zander1,6,2021
id_73854989,sample_oslo_change_me_2015_2018,9,8,Water,"6,005,131,586.54","1,074,250,952.99",21,Zander1,6,2015
id_73854989,sample_oslo_change_me_2015_2018,9,8,Water,"6,005,131,586.54","1,074,250,952.99",21,Zander1,6,2018
id_73854989,sample_oslo_change_me_2015_2018,9,8,Water,"6,005,131,586.54","1,074,250,952.99",21,Zander1,6,2021
id_73905357,sample_oslo_change_dw_2015_2021,10,1,Tree,"5,994,988,915.28","1,085,016,560.66",22,Zander1,6,2015
id_73905357,sample_oslo_change_dw_2015_2021,10,1,Grass,"5,994,988,915.28","1,085,016,560.66",22,Zander1,6,2018
id_73905357,sample_oslo_change_dw_2015_2021,10,1,Grass,"5,994,988,915.28","1,085,016,560.66",22,Zander1,6,2021
id_73932495,sample_oslo_change_dw_2015_2021,12,4,Tree,"6,012,640,712.71","1,063,648,994.32",23,Zander1,6,2015
id_73932495,sample_oslo_change_dw_2015_2021,12,4,Grass,"6,012,640,712.71","1,063,648,994.32",23,Zander1,6,2018
id_73932495,sample_oslo_change_dw_2015_2021,12,4,Grass,"6,012,640,712.71","1,063,648,994.32",23,Zander1,6,2021
id_73958803,sample_oslo_change_dw_2015_2018,11,6,Shrub,"6,011,336,871.57","1,058,600,400.11",24,Zander1,6,2015
id_73958803,sample_oslo_change_dw_2015_2018,11,6,Shrub,"6,011,336,871.57","1,058,600,400.11",24,Zander1,6,2018
id_73958803,sample_oslo_change_dw_2015_2018,11,6,Shrub,"6,011,336,871.57","1,058,600,400.11",24,Zander1,6,2021
id_73961524,sample_oslo_change_me_2018_2021,9,8,Water,"6,012,349,979.33","1,067,504,333.09",25,Zander1,8,2015
id_73961524,sample_oslo_change_me_2018_2021,9,8,Water,"6,012,349,979.33","1,067,504,333.09",25,Zander1,8,2018
id_73961524,sample_oslo_change_me_2018_2021,9,8,Water,"6,012,349,979.33","1,067,504,333.09",25,Zander1,8,2021
id_73974553,sample_oslo_change_me_2015_2021,4,8,Water,"6,011,792,145.78","1,068,286,013.51",26,Zander1,8,2015
id_73974553,sample_oslo_change_me_2015_2021,4,8,Water,"6,011,792,145.78","1,068,286,013.51",26,Zander1,8,2018
id_73974553,sample_oslo_change_me_2015_2021,4,8,Water,"6,011,792,145.78","1,068,286,013.51",26,Zander1,8,2021
